# ts total_used qemu_mib nvkvm_stub_mib stub_count qemu_fds marker
19:06:43 1634 161 150 15 497 post-restart-idle
19:06:58 1634 161 150 15 496 post-restart-idle
19:07:13 1726 161 196 17 604 post-restart-idle
19:07:28 1791 161 249 17 638 post-restart-idle
19:07:43 1781 161 239 17 629 post-restart-idle
19:07:58 1781 161 239 17 628 post-restart-idle
19:08:13 1831 161 274 17 650 post-restart-idle
19:08:28 1804 161 239 16 649 post-restart-idle
19:08:44 1813 161 247 16 639 post-restart-idle
19:08:59 1931 161 351 17 700 post-restart-idle
19:09:14 2384 161 773 17 699 post-restart-idle
19:09:29 2522 161 852 17 697 post-restart-idle
19:09:44 2682 159 856 17 703 post-restart-idle
19:09:59 2555 159 854 17 702 post-restart-idle
19:10:14 2577 163 854 17 699 post-restart-idle
19:10:29 2569 154 852 17 695 post-restart-idle
19:10:44 2586 157 846 17 694 post-restart-idle
19:10:59 2642 168 845 17 691 post-restart-idle
19:11:15 2643 168 845 17 690 post-restart-idle
19:11:30 2638 168 839 17 688 post-restart-idle
19:11:45 2644 168 846 17 684 post-restart-idle
19:12:00 2642 168 844 17 684 post-restart-idle
19:12:15 2664 168 857 17 684 post-restart-idle
19:12:30 2651 168 843 17 669 post-restart-idle
19:12:45 2662 168 854 17 671 post-restart-idle
19:13:00 2661 168 844 17 668 post-restart-idle
19:13:15 2690 168 852 17 671 post-restart-idle
19:13:31 2690 168 842 17 669 post-restart-idle
19:13:46 2695 168 836 17 666 post-restart-idle
19:14:01 2706 168 837 17 670 post-restart-idle
19:14:16 2715 168 836 17 668 post-restart-idle
19:14:31 2727 168 839 17 668 post-restart-idle
19:14:46 2725 168 837 17 668 post-restart-idle
19:15:01 2732 168 841 17 668 post-restart-idle
