# Which OGKM tags actually ship a public NVIDIA .run installer.
#
# WHY THIS EXISTS: sweep_plan.py used to choose driver versions from the 216
# supported OGKM tags alone. Publishing an open-gpu-kernel-modules tag and
# publishing a downloadable driver are DIFFERENT THINGS -- 87 of the 216 tags
# have no .run at either public path. A plan built without this file sends
# boxes to install drivers that cannot be obtained, and every one of them
# burns a rental and returns `driver-install-failed`. Observed 2026-08-30:
# 10 of 24 planned versions (42%) were unobtainable.
#
# Probed by range-requesting one byte of each candidate URL, in this order:
#   https://us.download.nvidia.com/XFree86/Linux-x86_64/$v/NVIDIA-Linux-x86_64-$v.run
#   https://us.download.nvidia.com/tesla/$v/NVIDIA-Linux-x86_64-$v.run
# AVAILABLE means one returned 200/206 and the third column is that URL.
#
# NOTE 403 != ABSENT. A rented box saw HTTP 403 for URLs that return 206 from a
# normal network, i.e. NVIDIA's CDN rate-limits/blocks some hosts. That is what
# --driver-cache is for: fetch here, upload to the box. Do not re-probe from a
# rented box and do not let a 403 rewrite this file.
#
# Regenerate from a trusted network; it changes only when NVIDIA publishes or
# withdraws an installer.
#
# version	status	url
515.105.01	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/515.105.01/NVIDIA-Linux-x86_64-515.105.01.run
515.43.04	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/515.43.04/NVIDIA-Linux-x86_64-515.43.04.run
515.48.07	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/515.48.07/NVIDIA-Linux-x86_64-515.48.07.run
515.49.05	ABSENT	-
515.49.06	ABSENT	-
515.49.10	ABSENT	-
515.49.14	ABSENT	-
515.49.15	ABSENT	-
515.49.18	ABSENT	-
515.49.19	ABSENT	-
515.49.24	ABSENT	-
515.49.25	ABSENT	-
515.57	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/515.57/NVIDIA-Linux-x86_64-515.57.run
515.65.01	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/515.65.01/NVIDIA-Linux-x86_64-515.65.01.run
515.65.07	AVAILABLE	https://us.download.nvidia.com/tesla/515.65.07/NVIDIA-Linux-x86_64-515.65.07.run
515.76	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/515.76/NVIDIA-Linux-x86_64-515.76.run
515.86.01	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/515.86.01/NVIDIA-Linux-x86_64-515.86.01.run
520.56.06	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/520.56.06/NVIDIA-Linux-x86_64-520.56.06.run
520.61.05	AVAILABLE	https://us.download.nvidia.com/tesla/520.61.05/NVIDIA-Linux-x86_64-520.61.05.run
520.61.07	AVAILABLE	https://us.download.nvidia.com/tesla/520.61.07/NVIDIA-Linux-x86_64-520.61.07.run
525.105.17	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/525.105.17/NVIDIA-Linux-x86_64-525.105.17.run
525.116.03	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/525.116.03/NVIDIA-Linux-x86_64-525.116.03.run
525.116.04	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/525.116.04/NVIDIA-Linux-x86_64-525.116.04.run
525.125.06	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/525.125.06/NVIDIA-Linux-x86_64-525.125.06.run
525.147.05	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/525.147.05/NVIDIA-Linux-x86_64-525.147.05.run
525.47.04	ABSENT	-
525.47.06	ABSENT	-
525.47.07	ABSENT	-
525.47.11	ABSENT	-
525.47.13	ABSENT	-
525.47.14	ABSENT	-
525.47.15	ABSENT	-
525.47.18	ABSENT	-
525.47.22	ABSENT	-
525.47.24	ABSENT	-
525.47.26	ABSENT	-
525.47.27	ABSENT	-
525.47.31	ABSENT	-
525.47.34	ABSENT	-
525.47.35	ABSENT	-
525.53	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/525.53/NVIDIA-Linux-x86_64-525.53.run
525.60.11	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/525.60.11/NVIDIA-Linux-x86_64-525.60.11.run
525.60.13	AVAILABLE	https://us.download.nvidia.com/tesla/525.60.13/NVIDIA-Linux-x86_64-525.60.13.run
525.78.01	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/525.78.01/NVIDIA-Linux-x86_64-525.78.01.run
525.85.05	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/525.85.05/NVIDIA-Linux-x86_64-525.85.05.run
525.85.12	AVAILABLE	https://us.download.nvidia.com/tesla/525.85.12/NVIDIA-Linux-x86_64-525.85.12.run
525.89.02	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/525.89.02/NVIDIA-Linux-x86_64-525.89.02.run
530.30.02	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/530.30.02/NVIDIA-Linux-x86_64-530.30.02.run
530.41.03	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/530.41.03/NVIDIA-Linux-x86_64-530.41.03.run
535.104.05	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/535.104.05/NVIDIA-Linux-x86_64-535.104.05.run
535.104.12	AVAILABLE	https://us.download.nvidia.com/tesla/535.104.12/NVIDIA-Linux-x86_64-535.104.12.run
535.113.01	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/535.113.01/NVIDIA-Linux-x86_64-535.113.01.run
535.129.03	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/535.129.03/NVIDIA-Linux-x86_64-535.129.03.run
535.146.02	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/535.146.02/NVIDIA-Linux-x86_64-535.146.02.run
535.154.05	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/535.154.05/NVIDIA-Linux-x86_64-535.154.05.run
535.161.07	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/535.161.07/NVIDIA-Linux-x86_64-535.161.07.run
535.161.08	AVAILABLE	https://us.download.nvidia.com/tesla/535.161.08/NVIDIA-Linux-x86_64-535.161.08.run
535.171.04	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/535.171.04/NVIDIA-Linux-x86_64-535.171.04.run
535.179	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/535.179/NVIDIA-Linux-x86_64-535.179.run
535.183.01	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/535.183.01/NVIDIA-Linux-x86_64-535.183.01.run
